"archivo","origen_en_dataset","dataset","pagina_dataset"
"perro-020.jpg","test/dogs/dog_213.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-021.jpg","test/dogs/dog_219.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-022.jpg","test/dogs/dog_227.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-023.jpg","test/dogs/dog_229.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-024.jpg","test/dogs/dog_236.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-025.jpg","test/dogs/dog_237.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-026.jpg","test/dogs/dog_240.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-027.jpg","test/dogs/dog_244.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-028.jpg","test/dogs/dog_258.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-029.jpg","test/dogs/dog_28.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-030.jpg","test/dogs/dog_283.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-031.jpg","test/dogs/dog_302.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-032.jpg","test/dogs/dog_303.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-033.jpg","test/dogs/dog_313.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-034.jpg","test/dogs/dog_327.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-035.jpg","test/dogs/dog_344.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-036.jpg","test/dogs/dog_354.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-037.jpg","test/dogs/dog_355.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-038.jpg","test/dogs/dog_360.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-039.jpg","test/dogs/dog_364.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-040.jpg","test/dogs/dog_369.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-041.jpg","test/dogs/dog_377.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-042.jpg","test/dogs/dog_380.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-043.jpg","test/dogs/dog_398.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-044.jpg","test/dogs/dog_415.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-045.jpg","test/dogs/dog_421.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-046.jpg","test/dogs/dog_43.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-047.jpg","test/dogs/dog_44.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-048.jpg","test/dogs/dog_442.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-049.jpg","test/dogs/dog_443.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-050.jpg","test/dogs/dog_461.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
